"id_rel";"id_keyphrase";"id_class"
996;730;23
997;782;23
998;824;23
999;828;23
1000;900;23
1001;961;23
1002;1100;23
1003;1183;23
1004;1334;23
1005;1468;23
1006;1618;23
1007;1620;23
1008;1626;23
1009;1628;23
1010;1978;23
1011;2161;23
1012;2258;23
1013;2526;23
1014;2547;23
1015;2700;23
1016;2974;23
1017;2985;23
1018;3075;23
1019;3077;23
1020;3078;23
1021;3323;23
1022;3324;23
1023;3361;23
1024;3433;23
1025;3467;23
1026;3475;23
1027;3543;23
1028;3550;23
1029;3614;23
1030;3641;23
1031;3642;23
1032;3729;23
1033;3730;23
1034;3773;23
1035;4033;23
1036;4088;23
1037;4096;23
1038;4098;23
1039;4099;23
1040;4110;23
1041;4116;23
1042;4145;23
1043;4172;23
1044;4211;23
1045;4214;23
1046;4217;23
1047;4253;23
1048;4349;23
1049;4420;23
1050;4492;23
1051;4656;23
1052;5036;23
1053;5037;23
1054;5099;23
1055;5114;23
1056;5117;23
1057;5122;23
1058;5224;23
1059;5951;23
1060;6014;23
1061;6032;23
1062;6069;23
1063;6172;23
1064;6256;23
1065;6611;23
1066;6627;23
1067;600;24
1068;1943;24
1069;1946;24
1070;1947;24
1071;2356;24
1072;2592;24
1073;2595;24
1074;2827;24
1075;2900;24
1076;3378;24
1077;3422;24
1078;3809;24
1079;4053;24
1080;4375;24
1081;4620;24
1082;4663;24
1083;4930;24
1084;5000;24
1085;5105;24
1086;5141;24
1087;5314;24
1088;5915;24
1089;6128;24
1090;6165;24
1091;6397;24
1092;6625;24
1093;529;25
1094;946;25
1095;949;25
1096;1221;25
1097;1323;25
1098;1548;25
1099;1674;25
1100;2404;25
1101;2596;25
1102;3817;25
1103;3965;25
1104;5621;25
1105;134;26
1106;838;26
1107;1645;26
1108;2841;26
1109;3325;26
1110;3326;26
1111;3357;26
1112;187;27
1113;275;27
1114;443;27
1115;473;27
1116;487;27
1117;500;27
1118;503;27
1119;556;27
1120;557;27
1121;567;27
1122;644;27
1123;645;27
1124;656;27
1125;809;27
1126;813;27
1127;980;27
1128;1327;27
1129;1355;27
1130;1356;27
1131;1461;27
1132;1472;27
